,id,serverId,isScheduled,inProcess,isServed,arrivalTime,scheduledTime,processingTime,finishTime,serviceTime,waitTime
0,B0,1,True,False,True,3.58,3.59,11.448174755457773,49.22,37.77,7.87
1,B1,2,True,False,True,4.59,4.59,4.599999999999946,23.1,18.5,0.01
2,B2,3,True,False,True,5.36,5.36,7.301976710737695,8.17,0.86,1.94
3,B3,6,True,False,True,7.76,7.77,23.468758629256115,124.78,101.31,15.7
4,B4,8,True,False,True,11.58,11.58,66.44590613386774,90.37,23.93,54.87
5,B5,9,True,False,True,13.23,13.23,37.32037379358461,38.84,1.52,24.09
6,B6,15,True,False,True,25.08,25.09,62.431101017856655,89.49,27.06,37.35
7,B7,17,True,False,True,28.54,28.55,33.340072270068525,45.23,11.89,4.8
8,B8,19,True,False,True,30.51,30.52,30.530000000001973,34.18,3.65,0.02
9,B9,20,True,False,True,32.01,32.01,32.0200000000022,52.75,20.73,0.01
10,B10,21,True,False,True,33.27,33.27,33.28000000000195,65.74,32.46,0.01
11,B11,23,True,False,True,37.18,37.19,37.20000000000117,65.0,27.8,0.02
12,B12,24,True,False,True,38.92,38.92,38.930000000000824,46.04,7.11,0.01
13,B13,24,True,False,True,39.1,39.1,46.03929405616511,64.64,18.6,6.94
14,B14,25,True,False,True,40.62,40.63,107.3716416233117,126.66,19.29,66.75
15,B15,29,True,False,True,44.64,44.65,44.659999999999684,76.2,31.54,0.02
16,B16,29,True,False,True,45.25,45.25,76.20034490576052,87.35,11.15,30.96
17,B17,30,True,False,True,45.82,45.83,45.83999999999945,85.79,39.95,0.02
18,B18,32,True,False,True,48.1,48.11,83.37662676310825,108.09,24.72,35.28
19,B19,34,True,False,True,50.38,50.38,69.43300487963653,70.41,0.98,19.06
20,B20,38,True,False,True,53.39,53.4,71.68238907223679,91.45,19.77,18.29
21,B21,42,True,False,True,59.07,59.08,68.87204399474646,118.37,49.5,9.8
22,B22,45,True,False,True,62.94,62.95,112.63976317803551,133.6,20.96,49.7
23,B23,47,True,False,True,65.77,65.78,153.86757046556713,158.7,4.83,88.09
24,B24,26,True,False,True,69.62,69.62,204.89772887710524,222.75,17.85,135.28
25,B25,30,True,False,True,70.79,70.79,90.78208888675167,126.14,35.36,19.99
26,B26,44,True,False,True,72.14,72.14,158.23340324193197,161.15,2.92,86.1
27,B27,46,True,False,True,72.91,72.92,78.9039045720916,121.37,42.47,5.99
28,B28,16,True,False,True,73.96,73.96,121.3548237854596,125.94,4.58,47.4
29,B29,30,True,False,True,76.95,76.95,126.14386302519736,145.24,19.09,49.2
30,B30,32,True,False,True,77.24,77.24,115.01803567068572,127.2,12.18,37.78
31,B31,47,True,False,True,78.94,78.95,164.44885402473426,171.6,7.15,85.51
32,B32,26,True,False,True,80.63,80.64,281.3845459819536,307.45,26.06,200.75
33,B33,30,True,False,True,82.68,82.68,145.23720814310707,146.19,0.95,62.56
34,B34,45,True,False,True,84.34,84.35,159.83732277801292,195.52,35.68,75.5
35,B35,47,True,False,True,85.46,85.47,171.59507345756427,190.31,18.71,86.13
36,B36,18,True,False,True,87.13,87.14,318.7453967767223,370.89,52.14,231.61
37,B37,25,True,False,True,93.85,93.85,240.9954278076285,259.38,18.39,147.15
38,B38,45,True,False,True,102.5,102.51,225.91685956904823,226.81,0.89,123.41
39,B39,22,True,False,True,104.59,104.6,104.60598403636975,108.48,3.88,0.01
40,B40,45,True,False,True,107.53,107.53,226.8083983133417,266.5,39.69,119.28
41,B41,11,True,False,True,107.9,107.9,107.9028991169733,124.83,16.93,0.01
42,B42,22,True,False,True,109.04,109.05,109.05145537662618,123.63,14.58,0.01
43,B43,35,True,False,True,110.65,110.65,110.65925862135545,120.24,9.58,0.01
44,B44,24,True,False,True,116.69,116.69,116.69326594503717,125.06,8.37,0.01
45,B45,13,True,False,True,117.55,117.55,117.5564670262596,202.01,84.45,0.01
46,B46,34,True,False,True,119.53,119.53,119.53214182700424,133.72,14.18,0.0
47,B47,34,True,False,True,132.24,132.25,133.7156889867083,187.57,53.85,1.47
48,B48,9,True,False,True,134.44,134.45,209.47042527857988,235.59,26.11,75.03
49,B49,24,True,False,True,137.29,137.29,158.28399813598983,207.16,48.87,21.0
50,B50,34,True,False,True,137.67,137.68,187.5704697859001,235.41,47.84,49.9
