,id,serverId,isScheduled,inProcess,isServed,arrivalTime,scheduledTime,processingTime,finishTime,serviceTime,waitTime
0,B0,1,True,False,True,3.58,3.59,11.448174755457773,49.22,37.77,7.87
1,B1,2,True,False,True,4.59,4.59,4.599999999999946,23.1,18.5,0.01
2,B2,3,True,False,True,5.36,5.36,7.301976710737695,8.17,0.86,1.94
3,B3,2,True,False,True,7.76,7.77,37.57514934249175,138.89,101.31,29.81
4,B4,0,True,False,True,11.58,11.58,182.3101842909171,206.24,23.93,170.73
5,B5,0,True,False,True,13.23,13.23,206.23842417091288,207.76,1.52,193.01
6,B6,0,True,False,True,25.08,25.09,278.36408050130245,305.42,27.06,253.28
7,B7,3,True,False,True,28.54,28.55,116.12391324671894,128.01,11.89,87.58
8,B8,3,True,False,True,30.51,30.52,230.26036789216914,233.91,3.65,199.75
9,B9,3,True,False,True,32.01,32.01,257.5663721897601,278.3,20.73,225.56
10,B10,3,True,False,True,33.27,33.27,278.29997341570504,310.76,32.46,245.03
11,B11,3,True,False,True,37.18,37.19,391.80778627517935,419.61,27.8,354.62
12,B12,2,True,False,True,38.92,38.92,277.83607894020344,284.95,7.11,238.92
13,B13,2,True,False,True,39.1,39.1,284.9453729963677,303.55,18.6,245.85
14,B14,2,True,False,True,40.62,40.63,371.5209865085241,390.81,19.29,330.9
15,B15,3,True,False,True,44.64,44.65,543.2017517895574,574.74,31.54,498.56
16,B16,0,True,False,True,45.25,45.25,305.4204091882923,316.57,11.15,260.18
17,B17,3,True,False,True,45.82,45.83,574.7420966953183,614.7,39.95,528.92
18,B18,1,True,False,True,48.1,48.11,139.02863241915594,163.74,24.72,90.93
19,B19,1,True,False,True,50.38,50.38,185.3284748047852,186.31,0.98,134.95
20,B20,3,True,False,True,53.39,53.4,631.9223548267614,651.69,19.77,578.53
21,B21,1,True,False,True,59.07,59.08,290.52761801147045,340.02,49.5,231.45
22,B22,2,True,False,True,62.94,62.95,644.437261723527,665.4,20.96,581.5
23,B23,1,True,False,True,65.77,65.78,390.08400136430623,394.92,4.83,324.31
24,B24,1,True,False,True,69.62,69.62,470.86428637562943,488.72,17.85,401.24
25,B25,0,True,False,True,70.79,70.79,431.19770100958914,466.56,35.36,360.41
26,B26,0,True,False,True,72.14,72.14,496.05948775962185,498.98,2.92,423.92
27,B27,0,True,False,True,72.91,72.92,498.9757882970012,541.45,42.47,426.06
28,B28,1,True,False,True,73.96,73.96,566.3073889357349,570.89,4.58,492.35
29,B29,1,True,False,True,76.95,76.95,570.8898890535777,589.98,19.09,493.94
30,B30,2,True,False,True,77.24,77.24,836.3909508603188,848.57,12.18,759.15
31,B31,3,True,False,True,78.94,78.95,841.7856784199405,848.93,7.15,762.84
32,B32,3,True,False,True,80.63,80.64,848.9318978527705,874.99,26.06,768.3
33,B33,1,True,False,True,82.68,82.68,595.3953280578814,596.35,0.95,512.72
34,B34,1,True,False,True,84.34,84.35,624.9137570922634,660.6,35.68,540.57
35,B35,1,True,False,True,85.46,85.47,660.5964379744725,679.31,18.71,575.13
36,B36,1,True,False,True,87.13,87.14,679.3097979459751,731.45,52.14,592.18
37,B37,3,True,False,True,93.85,93.85,902.8502317719706,921.24,18.39,809.0
38,B38,0,True,False,True,102.5,102.51,640.4746245007632,641.37,0.89,537.97
39,B39,0,True,False,True,104.59,104.6,641.3661632450567,645.24,3.88,536.77
40,B40,0,True,False,True,107.53,107.53,645.2416345853128,684.93,39.69,537.71
41,B41,3,True,False,True,107.9,107.9,1286.7544263820957,1303.69,16.93,1178.86
42,B42,3,True,False,True,109.04,109.05,1303.685093497037,1318.26,14.58,1194.64
43,B43,3,True,False,True,110.65,110.65,1318.2645930126112,1327.85,9.58,1207.62
44,B44,3,True,False,False,116.69,116.69,,,8.37,1323.31
45,B45,3,True,False,False,117.55,117.55,,,84.45,1322.45
46,B46,3,True,False,False,119.53,119.53,,,14.18,1320.47
47,B47,3,True,False,False,132.24,132.25,,,53.85,1307.76
48,B48,1,True,False,True,134.44,134.45,1311.457856416683,1337.57,26.11,1177.02
49,B49,2,True,False,True,137.29,137.29,1227.7339007889314,1276.61,48.87,1090.45
50,B50,3,True,False,False,137.67,137.68,,,47.84,1302.33
51,B51,1,True,False,False,142.93,142.93,,,78.27,1297.07
52,B52,3,True,False,False,145.7,145.7,,,29.93,1294.3
